Index,Elapsed Time,Action,Latency
1,479,Login,479
2,243,QueryFlight,243
3,244,QueryFlight,244
4,248,QueryFlight,248
5,242,QueryFlight,241
6,242,QueryFlight,242
7,241,List Bookings,241
8,240,logout,240
9,239,Login,239
10,240,QueryFlight,240
11,246,QueryFlight,246
12,248,QueryFlight,248
13,248,QueryFlight,248
14,241,QueryFlight,241
15,243,List Bookings,242
16,240,logout,239
17,247,Login,247
18,239,View Profile Information,239
19,244,Update Customer,244
20,240,QueryFlight,240
21,241,QueryFlight,241
22,242,QueryFlight,242
23,241,QueryFlight,241
24,239,QueryFlight,239
25,238,List Bookings,238
26,239,logout,238
27,245,Login,245
28,239,QueryFlight,239
29,238,QueryFlight,237
30,239,QueryFlight,239
31,243,QueryFlight,243
32,242,QueryFlight,242
33,242,List Bookings,242
34,245,logout,244
35,242,Login,242
36,245,QueryFlight,244
37,242,QueryFlight,242
38,240,QueryFlight,240
39,238,QueryFlight,238
40,2137,QueryFlight,2137
41,246,List Bookings,245
42,241,logout,241
43,245,Login,245
44,241,QueryFlight,241
45,241,QueryFlight,241
46,237,QueryFlight,237
47,239,QueryFlight,239
48,241,QueryFlight,241
49,239,List Bookings,239
50,241,logout,241
51,239,Login,239
52,246,View Profile Information,246
53,239,Update Customer,239
54,240,QueryFlight,240
55,243,QueryFlight,243
56,241,QueryFlight,241
57,244,QueryFlight,244
58,242,QueryFlight,242
59,240,List Bookings,240
60,238,logout,237
61,241,Login,241
62,246,QueryFlight,246
63,239,QueryFlight,239
64,244,QueryFlight,243
65,240,QueryFlight,240
66,240,QueryFlight,240
67,240,List Bookings,240
68,238,logout,238
69,243,Login,243
70,244,QueryFlight,244
71,246,QueryFlight,245
72,244,QueryFlight,244
73,242,QueryFlight,242
74,242,QueryFlight,242
75,242,List Bookings,242
76,239,logout,239
77,240,Login,240
78,254,QueryFlight,253
79,245,QueryFlight,245
80,247,QueryFlight,247
81,240,QueryFlight,240
82,246,QueryFlight,246
83,241,List Bookings,241
84,238,logout,238
85,240,Login,240
86,240,View Profile Information,240
87,240,Update Customer,240
88,244,QueryFlight,244
89,243,QueryFlight,243
90,246,QueryFlight,245
91,246,QueryFlight,246
92,243,QueryFlight,243
93,245,List Bookings,245
94,239,logout,238
95,241,Login,241
96,254,QueryFlight,254
97,255,QueryFlight,255
98,244,QueryFlight,244
99,251,QueryFlight,251
100,241,QueryFlight,241
101,487,List Bookings,487
102,247,logout,247
103,247,Login,247
104,253,QueryFlight,253
105,257,QueryFlight,257
106,253,QueryFlight,253
107,249,QueryFlight,249
108,257,QueryFlight,257
109,255,List Bookings,255
110,243,logout,243
111,245,Login,244
112,252,QueryFlight,252
113,252,QueryFlight,252
114,254,QueryFlight,254
115,252,QueryFlight,252
116,250,QueryFlight,250
117,248,List Bookings,247
118,245,logout,244
119,246,Login,246
120,245,View Profile Information,245
121,244,Update Customer,244
122,248,QueryFlight,248
123,248,QueryFlight,248
124,251,QueryFlight,251
125,252,QueryFlight,252
126,249,QueryFlight,249
127,254,List Bookings,254
128,245,logout,245
129,246,Login,246
130,250,QueryFlight,250
131,253,QueryFlight,252
132,251,QueryFlight,251
133,252,QueryFlight,251
134,250,QueryFlight,250
135,245,List Bookings,244
136,244,logout,244
137,245,Login,245
138,247,QueryFlight,247
139,251,QueryFlight,251
140,250,QueryFlight,250
141,248,QueryFlight,248
142,244,QueryFlight,243
143,245,List Bookings,245
144,248,logout,248
145,244,Login,244
146,248,QueryFlight,247
147,246,QueryFlight,246
148,244,QueryFlight,244
149,247,QueryFlight,247
150,249,QueryFlight,249
151,246,List Bookings,246
152,244,logout,244
153,250,Login,250
154,252,View Profile Information,252
155,248,Update Customer,248
156,246,QueryFlight,246
157,247,QueryFlight,247
158,248,QueryFlight,248
159,246,QueryFlight,246
160,254,QueryFlight,254
161,247,List Bookings,247
162,250,logout,250
163,245,Login,245
164,246,QueryFlight,246
165,244,QueryFlight,244
166,252,QueryFlight,251
167,256,QueryFlight,256
168,246,QueryFlight,246
169,246,List Bookings,246
170,245,logout,245
171,244,Login,244
172,251,QueryFlight,251
173,246,QueryFlight,246
174,255,QueryFlight,255
175,248,QueryFlight,248
176,251,QueryFlight,251
177,244,List Bookings,244
178,249,logout,249
179,248,Login,248
180,250,QueryFlight,250
181,250,QueryFlight,250
